All event log messages.
Date:	2021-03-04 23:55:55
System Name:	14000-502153
Controller Name:	YUMI-502153
Controller ID :	14000-502153

RobotWare: 6.11.01.00
Key:	 - 
Options:	
	Contact L
	UDPUC Driver
	Leadthrough
	YuMi AbsAcc Recovery
	English
	603-1 Absolute Accuracy
	988-1 RW Add-In Prepared
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	841-1 EtherNet/IP Scanner/Adapter
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP SFTP and NFS client
	1341-1/1520-1 Integrated Vision Interface
	604-1 MultiMove Coordinated
	623-1 Multitasking
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	688-1 RobotStudio App Connect
	885-1 SoftMove
	608-1 World Zones
	RobotWare Base

DriveModule1
Key:	 - 
Options:	
	Hall Sensor Calibration
	Pendelum Calibration
	Motor Commutation
	Service Info System
	Drive System IRB 14000
	IRB 14000-0.5/0.5
	IRB 14000-0.5/0.5 Type A
	IRB 14000-0.5/0.5 Type A

Additional Options

SmartGripper
Key:	 - 
Options:	
	SmartGripper

YuMiLib
Key:	 - 
Options:	
	YuMiLib

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
1         	I   	Operational         	10046   	System reset                            	2021-03-04 20:40:36 	Loading the original system installation settings.	{args: }
2         	I   	Operational         	10056   	System shutdown initiated               	2021-03-04 20:40:45 	System shutdown is now initiated and steps are taken to stop activities and store the current state for the next startup.	{args: }
3         	I   	Operational         	10045   	System restarted                        	2021-03-04 20:41:11 	System was restarted.	{args: }
4         	W   	Operational         	12700   	Missing time zone information           	2021-03-04 20:41:11 	No time zone information has been specified.	{args: }
5         	E   	Motion              	50472   	Absolute accuracy data missing          	2021-03-04 20:41:24 	Absolute accuracy is activated but no data exists for robot ROB_R.	{args: "ROB_R"}
6         	E   	Motion              	50472   	Absolute accuracy data missing          	2021-03-04 20:41:24 	Absolute accuracy is activated but no data exists for robot ROB_L.	{args: "ROB_L"}
7         	W   	Motion              	50298   	Memory updated in controller            	2021-03-04 20:41:58 	Data for mechanical unit ROB_R is moved from robot to controller memory.	{args: "ROB_R"}
8         	W   	Motion              	50298   	Memory updated in controller            	2021-03-04 20:41:59 	Data for mechanical unit ROB_L is moved from robot to controller memory.	{args: "ROB_L"}
9         	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:03 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
10        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:03 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
11        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:03 	The program pointer of task YuMiLibBG_R has been reset.	{args: "3", "0", "YuMiLibBG_R"}
12        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:03 	The program pointer of task YuMiLibBG_L has been reset.	{args: "4", "0", "YuMiLibBG_L"}
13        	I   	Operational         	10040   	Program loaded                          	2021-03-04 20:42:06 	A program or program module has been loaded into task T_ROB_R. After loading, 34956248 bytes memory remain. The size of the loaded program is 554789464 bytes.	{args: "0", "0", "T_ROB_R", "34956248", "554789464"}
14        	I   	Operational         	10040   	Program loaded                          	2021-03-04 20:42:10 	A program or program module has been loaded into task T_ROB_L. After loading, 30367124 bytes memory remain. The size of the loaded program is 554789464 bytes.	{args: "0", "0", "T_ROB_L", "30367124", "554789464"}
15        	I   	Operational         	10012   	Safety guard stop state                 	2021-03-04 20:42:12 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
16        	I   	Operational         	10015   	Manual mode selected                    	2021-03-04 20:42:12 	The system is in the Manual mode.	{args: }
17        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:12 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB_R"}
18        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:13 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "T_ROB_L"}
19        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:13 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
20        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:13 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
