Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-502153 1 2020-10-26 11:32:45 4.72640 0.59400 -4.13240
14kL-502153 2 2020-10-26 11:33:15 3.01210 3.66530 0.65320
14kL-502153 3 2020-10-26 11:33:45 4.74300 1.08910 -3.65390
14kL-502153 4 2020-10-26 11:34:19 5.61510 5.58250 -0.03260
14kL-502153 5 2020-10-26 11:35:10 2.31620 0.67750 -1.63870
14kL-502153 6 2020-10-26 11:35:46 1.28440 0.85750 -0.42690
14kL-502153 7 2020-10-26 11:36:17 2.24740 6.01050 3.76310
14kR-502153 1 2020-10-26 11:45:25 2.47030 2.78120 0.31090
14kR-502153 2 2020-10-26 11:45:52 1.83400 5.16910 3.33510
14kR-502153 3 2020-10-26 11:46:26 3.85780 1.21100 -2.64680
14kR-502153 4 2020-10-26 11:46:59 5.49210 5.96120 0.46910
14kR-502153 5 2020-10-26 11:47:56 5.48280 6.03760 0.55480
14kR-502153 6 2020-10-26 11:48:31 4.06390 6.04200 1.97810
14kR-502153 7 2020-10-26 11:49:02 3.06790 3.57360 0.50570
14kL-502153 1 2020-12-02 18:23:20 0.59400 0.60230 0.00830
14kL-502153 2 2020-12-02 18:23:49 3.66530 3.65490 -0.01040
14kL-502153 3 2020-12-02 18:24:20 1.08910 1.05720 -0.03190
14kL-502153 4 2020-12-02 18:24:53 5.58250 5.57650 -0.00600
14kL-502153 5 2020-12-02 18:25:43 0.67750 0.64590 -0.03160
14kL-502153 6 2020-12-02 18:26:19 0.85750 0.84270 -0.01480
14kL-502153 7 2020-12-02 18:26:49 6.01050 6.00890 -0.00160
14kR-502153 1 2020-12-02 18:45:21 2.78120 2.76530 -0.01590
14kR-502153 2 2020-12-02 18:45:48 5.16910 5.15420 -0.01490
14kR-502153 3 2020-12-02 18:46:22 1.21100 1.19110 -0.01990
14kR-502153 4 2020-12-02 18:46:56 5.96120 5.96390 0.00270
